,name,size,price,unit_price,on_sale,norm_unit_price,norm_unit_price_type,norm_size,norm_size_type
0,Sweet Onions,20 oz (avg.),$1.24 avg/ea,$0.99/lb,True,0.0021825396825396826,wt,567.0,wt
1,Produce Yellow Onions,6 oz (avg.),$0.75 avg/ea,$1.99/lb,False,0.004387125220458554,wt,170.10000000000002,wt
2,Produce Red Onions,14 oz (avg.),$1.74 avg/ea,$1.99/lb,False,0.004387125220458554,wt,396.90000000000003,wt
3,Produce Sweet Onions,14 oz (avg.),$0.87 avg/ea,$0.99/lb,True,0.0021825396825396826,wt,396.90000000000003,wt
4,Produce Spanish Onion,14 oz (avg.),$1.74 avg/ea,$1.99/lb,False,0.004387125220458554,wt,396.90000000000003,wt
5,Fresh Organic Green Onion,1 ct,$2.49,$2.49/each,False,2.49,whole,1.0,whole
6,Produce Green Onions,1 ct,$0.99,$0.99/each,False,0.99,whole,1.0,whole
7,Produce Jumbo White Onions,16 oz (avg.),$1.99 avg/ea,$1.99/lb,False,0.004387125220458554,wt,453.6,wt
8,Giant Eagle Diced Sweet Onion,8 oz,$2.99,$0.37/oz,False,0.013051146384479717,wt,226.8,wt
9,Fresh Organic Yellow Onion,9 oz (avg.),$1.40 avg/ea,$2.49/lb,False,0.005489417989417989,wt,255.15,wt
10,Birds Eye Onions - Deluxe Vegetables White Pearl,14.4 oz,$2.79,$0.19/oz,False,0.006701940035273368,wt,113.4,wt
11,Produce Yellow Onion,5 lb,$4.49,$0.90/lb,False,0.001984126984126984,wt,2268.0,wt
12,Giant Eagle Diced Yellow Onion,8 oz,$2.99,$0.37/oz,False,0.013051146384479717,wt,226.8,wt
13,Produce White Peeled Onion,16 oz (avg.),$2.99 avg/ea,$2.99/lb,False,0.006591710758377425,wt,453.6,wt
14,Produce Organic Onion - Yellow,3 lb,$3.99,$1.33/lb,False,0.002932098765432099,wt,1360.8000000000002,wt
15,Giant Eagle Diced Red Onion,8 oz,$2.99,$0.37/oz,False,0.013051146384479717,wt,226.8,wt
16,Mrs. T's Classic Onion,16 oz,$3.29,$0.21/oz,False,0.007407407407407407,wt,453.6,wt
17,Giant Eagle Sliced Sweet Onion,7 oz,2 for $5.00,$0.36/oz,True,0.012698412698412697,wt,198.45000000000002,wt
