,ing_name,name,size,price,on_sale,norm_unit_price,norm_unit_price_type
0,onion,Green Onions,1 ea.,$1.29,False,1.29,whole
1,onion,Yellow Onions,48 oz.,$3.99,False,0.0029320987654320985,wt
2,onion,Red Onions,48 oz.,$4.99,False,0.0036669606114050554,wt
3,onion,10 lb Cooking Onions,160 oz.,$5.99,False,0.001320546737213404,wt
4,tomatoes,"Grape Tomatoes, FAMILY PACK",1 qt.,$3.99,False,0.004216199080678396,vol
5,tomatoes,Grape Tomatoes,1 pt.,$3.99,False,0.008432309057863815,vol
6,tomatoes,"Tomatoes Roma, FAMILY PACK",1.5 lb.,$2.99,False,0.004394473838918283,wt
7,tomatoes,"Flavorful Medley Snacking Tomatoes, FAMILY PACK",1.5 lb.,$5.49,False,0.008068783068783067,wt
8,chicken,Garlic Parmesan Chicken Breast,6 oz.,$7.00,False,0.04115226337448559,wt
9,chicken,Chicken Caprese,8 oz.,$7.00,False,0.030864197530864196,wt
10,chicken,"Brown Sugar Barbeque, Seasoned Bone-in Chicken",1 Package Approx. 2.5 lb.,$3.99/lb,False,0.008796296296296297,wt
11,chicken,"Boneless & Skinless Chicken Breasts with Rib Meat, FAMILY PACK",1 Package Approx. 6 lb.,$1.79/lb*,True,0.0039462081128747795,wt
12,sour cream,Sour Cream,16 oz.,$2.49,False,0.005489417989417989,wt
13,sour cream,"Sour Cream, FAMILY PACK",48 oz.,$3.49,False,0.00256466784244562,wt
14,sour cream,Sour Cream,16 oz.,$1.39*,True,0.0030643738977072306,wt
15,sour cream,Sour Cream,8 oz.,$0.99,False,0.004365079365079365,wt
16,parmesan cheese,Parmesan Grated Cheese,8 oz.,$2.99,False,0.01318342151675485,wt
17,parmesan cheese,Parmesan Grated Cheese,16 oz.,$5.29,False,0.011662257495590828,wt
18,parmesan cheese,Parmigiano Reggiano Love Bites,1 Each Approx. 0.5 lb.,$25.99/lb,False,0.05729717813051146,wt
19,parmesan cheese,Parmesan & Romano Grated Cheese,8 oz.,$2.99,False,0.01318342151675485,wt
20,cilantro,Fresh Cilantro (Corriander),1 ea.,$0.79,False,0.79,whole
21,cilantro,"Chicken Sausage, Cilantro Lime",12 oz.,$6.59,False,0.019370958259847144,wt
22,cilantro,"Cilantro Lime Marinated Boneless, Skinless Chicken Thighs",1 Package Approx. 1.5 lb.,$4.99/lb,False,0.011000881834215168,wt
23,cilantro,Cilantro,0.25 oz.,$1.29,False,0.182010582010582,wt
24,chicken breasts,Garlic Parmesan Chicken Breast,6 oz.,$7.00,False,0.04115226337448559,wt
25,chicken breasts,"Boneless & Skinless Chicken Breasts with Rib Meat, FAMILY PACK",1 Package Approx. 6 lb.,$1.79/lb*,True,0.0039462081128747795,wt
26,chicken breasts,"Lemon Garlic Chicken Breasts, FAMILY PACK",16 oz.,$16.00,False,0.03527336860670194,wt
27,chicken breasts,Chicken Breast Teriyaki with Mushrooms,13 oz.,$9.00,False,0.02442002442002442,wt
28,eggs,Large Brown Eggs,24 oz.,$3.99,False,0.005864197530864197,wt
29,eggs,"Three Dozen Large Eggs, FAMILY PACK",72 oz.,$1.99,False,0.0009749167156574564,wt
30,eggs,Extra Large Brown Eggs,27 oz.,$4.19,False,0.005473904239336338,wt
31,eggs,Pasture Raised Large Brown Eggs,24 oz.,$5.99*,True,0.008803644914756025,wt
32,cheddar cheese,"Extra Sharp Cheddar Cheese, White",32 oz.,$6.49,False,0.007153880070546737,wt
33,cheddar cheese,"Sharp Cheddar Cheese, FAMILY PACK",32 oz.,$6.49,False,0.007153880070546737,wt
34,cheddar cheese,"Sharp Cheddar Cheese, White",32 oz.,$6.49,False,0.007153880070546737,wt
35,cheddar cheese,Sliced Mild Cheddar Cheese,5 oz.,$4.99,False,0.03520282186948854,wt
36,mozzarella cheese,Part-Skim Mozzarella Fancy Shredded Cheese,6 oz.,$3.99,False,0.023456790123456788,wt
37,mozzarella cheese,Fresh Mozzarella Cheese,32 oz.,$7.99,False,0.00880731922398589,wt
38,mozzarella cheese,"Low-Moisture Part-Skim Shredded Mozzarella, FAMILY PACK",80 oz.,$11.49,False,0.005066137566137567,wt
39,mozzarella cheese,Shredded Whole Milk Mozzarella Cheese,16 oz.,$3.19,False,0.007032627865961199,wt
40,corn tortillas,Stoneground Yellow Corn Tortillas,12.69 oz.,$2.99,False,0.008311061633888006,wt
41,corn tortillas,Blue Corn Tortilla Chips,16 oz.,$2.50*,True,0.005511463844797178,wt
42,corn tortillas,White Corn Tortilla Chips,16 oz.,$2.50*,True,0.005511463844797178,wt
43,corn tortillas,Yellow Corn Tortilla Chips,16 oz.,$2.50*,True,0.005511463844797178,wt
44,carrots,Baby-Cut Carrots,16 oz.,$1.29,False,0.002843915343915344,wt
45,carrots,Carrots,16 oz.,$1.29,False,0.002843915343915344,wt
46,carrots,Carrots,32 oz.,$2.29,False,0.0025242504409171075,wt
47,carrots,Matchstick Carrots,10 oz.,$1.99,False,0.007019400352733686,wt
48,sauce,Coconut Shrimp with Sweet Chili Sauce,6.5 oz.,$6.50,False,0.03527336860670194,wt
