,id,name,rating,time,servings,yield,course0,cuisine0,Piquant,Sour,Salty,Sweet,Bitter,Meaty,cuisine1,holiday0,holiday1,holiday2,course1,cuisine2,course2,course3,holiday3,cuisine3,course4,holiday4,Cajun & Creole,Spanish,Hawaiian,Kid-Friendly,Indian,English,Greek,Thai,Southwestern,Italian,Mediterranean,Irish,Southern & Soul Food,Hungarian,American,Mexican,Swedish,Moroccan,Barbecue,German,Asian,Portuguese,Vietnamese,Japanese,Cuban,French,Chinese,Breads,Soups,Afternoon Tea,Cocktails,Beverages,Lunch and Snacks,Main Dishes,Appetizers,Breakfast and Brunch,Desserts,Condiments and Sauces,Side Dishes,Salads,Game Day,Christmas,Unnamed: 69,4th of July,New Year,Passover,Sommer Cocktail Party,Fall,Winter,Chinese New Year,Valentine's Day,Thanksgiving,Thanksgivukkah,Spring,Summer,Hanukkah,Sunday Lunch,Easter,St. Patrick's Day,Halloween,number_of_ingredients,taste_sum,parsed,failed,ingredient0,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient0qty,ingredient0type,ingredient1qty,ingredient1type,ingredient2qty,ingredient2type,ingredient3qty,ingredient3type,ingredient4qty,ingredient4type,ingredient5qty,ingredient5type,ingredient6qty,ingredient6type,ingredient7qty,ingredient7type,ingredient8qty,ingredient8type,ingredient9qty,ingredient9type,ingredient10qty,ingredient10type,ingredient11qty,ingredient11type,ingredient12qty,ingredient12type,ingredient13qty,ingredient13type,ingredient14qty,ingredient14type,ingredient15qty,ingredient15type,ingredient16qty,ingredient16type,ingredient17qty,ingredient17type,ingredient18qty,ingredient18type,ingredient19qty,ingredient19type,amount_error
8,Crock-Pot-Italian-Turkey-Meatballs-and-Homemade-Sauce-900153,Crock-Pot Italian Turkey Meatballs and Homemade Sauce,4,1200.0,6.0,6 servings,Main Dishes,Italian,0.1667,0.5,0.6667,0.1667,0.5,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.1668,True,0,bread crumbs,turkey breast,parmesan cheese,eggs,"garlic, minced",salt,ground pepper,onion,olive oil,"garlic, minced",tomatoes,sugar,dried oregano,salt and pepper to taste,red pepper flakes,,,,,,118.295,vol,567.0,wt,59.1475,vol,1.0,whole,4.929,vol,4.929,vol,0.0,wt,473.18,vol,4.929,vol,7.3935,vol,793.8000000000001,wt,9.858,vol,4.929,vol,3.69675,vol,1.23225,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0
13,Mozzarella-Omelet-with-Sage-and-Red-Chile-Flakes-MyRecipes-242100,Mozzarella Omelet with Sage and Red Chile Flakes,4,1620.0,2.0,Serves 2 (serving size: 1 omelet),Main Dishes,American,0.3333,0.1667,0.6667,0.1667,0.1667,0.3333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.8334,True,0,water,fresh sage,red pepper,salt,large eggs,egg whites,olive oil,mozzarella cheese,fresh sage,,,,,,,,,,,,59.1475,vol,14.787,vol,2.4645,vol,1.23225,vol,4.0,whole,0.0,wt,14.787,vol,59.1475,vol,0.0,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
15,Macaroni-and-Cheese-Martha-Stewart_6,John Legend's Macaroni and Cheese,4,4500.0,4.0,,Main Dishes,Kid-Friendly,0.0,0.6667,0.5,0.3333,0.8333,1.0,,,,,Side Dishes,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.3333,True,0,unsalted butter,salt and freshly ground pepper,salt and freshly ground pepper,elbow macaroni,evaporated milk,skim milk,large eggs,salt,garlic powder,cheddar cheese,monterey jack cheese,paprika,,,,,,,,,59.148,vol,0.0,wt,0.0,wt,709.77,vol,0.0,wt,78.86333333333333,vol,2.0,whole,2.4645,vol,1.23225,vol,0.0,wt,0.0,wt,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
21,Spaghetti-and-Meatballs-Martha-Stewart,Spaghetti and Meatballs,4,3900.0,2.0,servings: 2,Main Dishes,Italian,0.0,0.8333,0.6667,0.5,0.5,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3.5,True,0,olive oil,red-pepper flakes,minced garlic,tomatoes,coarse salt,whole milk,white bread,ground pork,lean beef,pecorino cheese,freshly grated parmesan cheese,large eggs,chopped flat-leaf parsley,freshly ground pepper,marjoram,shallots,spaghetti,,,,14.787,vol,0.616125,vol,4.929,vol,793.8000000000001,wt,0.0,whole,59.1475,vol,1.0,whole,226.8,wt,226.8,wt,59.1475,vol,59.1475,vol,1.0,whole,14.787,vol,0.616125,vol,1.23225,vol,14.787,vol,226.8,wt,0.0,,0.0,,0.0,,0
25,Roast-Turkey-with-Port-Gravy-Epicurious-52922,Roast Turkey with Port Gravy,5,,6.0,Makes 6 servings,Main Dishes,American,0.0,0.3333,0.6667,0.3333,0.8333,1.0,,Fall,Christmas,Thanksgiving,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16,3.1666,True,0,olive oil,turkey,celery stalk,chopped onion,water,turkey,"medium onion, chopped",apples,coarse kosher salt,freshly ground black pepper,dried thyme,olive oil,butter,flour,port,chicken broth,,,,,29.574,vol,0.0,wt,2.0,whole,1.0,whole,1419.54,vol,0.0,wt,1.0,whole,0.0,vol,17.2515,vol,7.3935,vol,2.4645,vol,29.574,vol,59.1475,vol,59.1475,vol,118.295,vol,0.0,whole,0.0,,0.0,,0.0,,0.0,,0
36,Pork_and_pineapple-Kebabs-My-Recipes_1,Pork-and-Pineapple Kebabs,4,,2.0,2 servings,Main Dishes,American,0.3333,0.8333,0.3333,0.6667,0.1667,0.5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.8333,True,0,pork tenderloin,brown sugar,soy sauce,orange juice,onion,lemon juice,salt,pepper,bay leaf,pineapple,red bell pepper,vegetables,,,,,,,,,226.8,wt,22.180500000000002,vol,22.180500000000002,vol,14.787,vol,14.787,vol,9.858,vol,0.616125,vol,0.0,whole,1.0,whole,8.0,whole,8.0,whole,0.0,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
39,Chicken-_-broccoli-alfredo--300131,Chicken & Broccoli Alfredo ,4,1800.0,4.0,4,Main Dishes,Italian,0.6667,0.6667,0.1667,0.3333,0.1667,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.1668,True,0,chicken breasts,butter,red bell pepper,broccoli florets,water,milk,pasta,,,,,,,,,,,,,,453.6,wt,44.361000000000004,vol,118.295,vol,473.18,vol,177.4425,vol,118.295,vol,1.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
48,Chinese-Steamed-Fish-with-Soy-Sesame-Sauce-1384467,Chinese Steamed Fish with Soy Sesame Sauce,4,1500.0,1.0,1,Main Dishes,Asian,0.0,0.1667,0.8333,0.1667,0.1667,0.1667,Chinese,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.5001000000000002,True,0,fish,rice wine,salt,minced ginger,scallions,soy sauce,sesame oil,,,,,,,,,,,,,,113.4,wt,4.929,vol,0.0,whole,1.0,whole,1.0,whole,4.929,vol,9.858,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
50,Mussels-Provencal-Allrecipes,Mussels Provencal,4,2100.0,6.0,6 servings,Main Dishes,French,0.0,0.8333,0.3333,0.6667,0.3333,0.3333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.4999,True,0,pasta,olive oil,chopped onion,"garlic cloves, minced",tomatoes,tomato paste,mushrooms,basil,dried oregano,tarragon,greens,olives,chopped tomatoes,,,,,,,,340.20000000000005,wt,14.787,vol,1.0,whole,2.0,whole,453.6,wt,4.929,vol,5.0,whole,4.929,vol,2.4645,vol,4.929,vol,0.0,wt,118.295,vol,2.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
63,Soy_Marinated-Flank-Steak-Martha-Stewart,Soy-Marinated Flank Steak,4,1500.0,6.0,servings: 6,Main Dishes,American,0.3333,0.1667,1.0,0.6667,1.0,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.1667000000000005,True,0,soy sauce,light brown sugar,cider vinegar,worcestershire sauce,dijon mustard,red-pepper flakes,ground pepper,flank steak,vegetable oil,,,,,,,,,,,,236.59,vol,59.1475,vol,44.361000000000004,vol,14.787,vol,9.858,vol,4.929,vol,1.23225,vol,907.2,wt,0.0,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
