ind,"('GE', 'has_price')","('GE', 'has_nearby_price')","('Weg', 'has_price')","('Weg', 'has_nearby_price')"
8,False,False,False,False
13,False,False,False,False
15,False,False,False,False
21,False,False,False,False
25,False,False,False,False
36,False,False,False,False
39,False,False,False,False
48,False,False,False,False
50,False,False,False,False
63,False,False,True,True
66,False,False,False,False
71,False,False,False,False
79,True,True,True,True
82,False,False,False,False
86,True,True,True,True
99,True,False,True,True
102,False,False,False,False
104,False,False,False,False
109,False,False,False,False
113,False,False,False,False
114,False,False,False,False
120,False,False,False,False
125,False,False,False,False
127,False,False,True,True
129,False,False,False,False
136,False,False,False,False
147,False,False,True,True
148,False,False,False,False
149,False,False,False,False
159,False,False,False,False
180,False,False,False,False
181,False,False,False,False
184,False,False,False,False
190,False,False,False,False
195,False,False,False,False
207,False,False,False,False
211,False,False,False,False
212,False,False,False,False
216,False,False,False,False
217,False,False,False,False
224,False,False,True,False
234,False,False,False,False
236,False,False,False,False
237,False,False,False,False
244,False,False,True,True
252,False,False,False,False
265,False,False,False,False
269,False,False,False,False
274,False,False,False,False
278,False,False,False,False
282,False,False,False,False
299,False,False,False,False
302,False,False,False,False
308,False,False,False,False
315,False,False,False,False
317,False,False,False,False
322,False,False,False,False
327,False,False,True,False
351,False,False,False,False
361,False,False,False,False
362,False,False,False,False
366,False,False,False,False
371,False,False,False,False
375,False,False,False,False
383,False,False,False,False
386,True,False,True,False
398,False,False,False,False
401,False,False,False,False
426,False,False,False,False
427,False,False,True,False
437,True,False,True,True
439,True,False,True,False
458,False,False,False,True
460,False,False,False,False
462,False,False,False,False
467,False,False,False,False
471,False,False,False,False
472,False,False,False,False
475,False,False,False,False
479,False,False,False,False
480,False,False,True,True
485,False,False,False,False
488,False,False,False,False
489,False,False,False,False
500,False,False,False,False
510,True,True,True,True
514,False,False,False,False
522,False,True,False,True
524,True,False,True,False
536,False,False,False,False
550,False,False,True,False
557,False,False,False,False
561,False,False,False,False
564,False,False,False,False
572,False,False,False,False
577,False,False,False,False
579,False,False,True,False
590,False,False,False,False
598,False,False,False,False
601,False,False,False,False
610,False,False,False,False
612,False,False,False,False
615,False,False,False,False
616,False,False,False,False
621,True,False,True,False
627,False,False,False,False
634,False,False,False,False
636,False,False,True,False
639,False,False,False,False
650,False,False,False,False
651,False,False,False,False
658,False,False,True,True
664,False,False,False,False
666,False,False,False,False
667,False,False,False,False
673,False,False,False,False
678,True,False,True,False
679,False,False,False,False
683,True,False,True,False
686,False,False,False,False
696,True,False,True,False
703,False,False,False,False
709,True,False,True,False
711,False,False,False,False
712,False,False,True,False
713,False,False,False,False
714,False,False,False,False
717,False,False,False,False
722,False,False,False,False
727,False,False,False,False
729,False,False,False,False
737,False,False,False,False
738,False,False,False,False
746,False,False,False,False
749,False,False,False,False
765,False,False,False,False
773,False,False,False,False
774,False,False,False,False
783,True,False,True,False
788,False,False,False,False
792,False,False,False,False
796,True,False,True,False
799,True,False,True,False
805,True,False,True,False
808,False,False,False,False
810,False,False,False,False
811,False,False,False,False
813,False,False,False,False
820,False,False,False,False
831,False,False,False,False
832,False,False,True,False
833,False,False,False,False
836,False,False,False,False
837,False,False,False,False
840,False,False,False,False
841,False,False,False,False
852,False,False,False,False
894,False,False,False,False
912,False,False,False,False
915,False,False,False,False
918,False,False,False,False
932,False,False,False,False
939,False,False,False,False
943,False,False,False,False
951,False,False,False,False
957,False,False,False,False
958,True,False,True,False
961,False,False,False,False
967,True,True,True,True
987,False,False,True,False
988,True,False,True,False
990,False,False,False,False
994,False,False,False,False
1040,False,False,False,False
1043,False,False,True,False
1046,False,False,False,False
1047,False,False,False,False
1054,True,False,True,False
1059,False,False,False,False
1062,False,False,False,False
1072,False,False,False,False
1073,True,False,True,True
1074,False,False,True,False
1076,False,False,False,False
1077,False,True,False,True
1090,False,False,True,True
1097,False,False,False,False
1103,False,False,False,False
1104,False,False,False,False
1109,False,False,False,False
1110,False,False,False,False
1126,False,False,True,False
1133,True,False,True,False
1149,False,False,False,False
1154,False,False,False,False
1175,False,False,False,False
1183,True,False,True,False
1191,False,False,False,False
1194,False,False,False,False
1201,False,False,False,False
1208,False,False,False,False
1219,False,False,False,False
1228,False,False,False,False
1231,False,False,False,False
1238,False,False,True,False
1241,False,False,False,False
1245,False,False,False,False
1250,False,False,False,False
1252,True,True,True,True
1254,False,False,False,False
1259,False,False,False,False
1262,True,True,True,True
1264,False,False,False,False
1276,False,False,False,False
1281,False,False,False,False
1288,True,True,True,True
1302,False,False,False,False
1305,False,False,False,False
1316,False,False,False,False
1317,False,False,False,False
1319,False,False,False,False
1321,False,False,False,False
1322,False,False,False,False
1324,False,False,False,False
1328,False,True,False,True
1330,True,True,True,True
1331,False,False,False,False
1332,False,False,False,False
1341,False,False,True,False
1342,False,False,False,False
1346,False,False,False,False
1348,False,False,False,False
1360,False,True,False,True
1362,False,False,False,False
1364,False,False,False,False
1381,False,False,False,False
1384,False,False,False,False
1392,False,False,False,False
1398,False,False,False,False
1411,False,False,False,False
1414,False,False,False,False
1417,False,False,False,False
1418,False,False,False,False
1425,False,True,False,True
1426,False,False,False,False
1433,False,False,False,False
1434,False,False,False,False
1441,False,False,False,False
1446,False,False,False,True
1448,False,False,True,True
1453,False,False,True,True
1455,False,False,False,False
1458,False,False,False,False
1465,False,False,False,False
1468,False,False,False,False
1473,False,False,False,False
1479,False,False,False,False
1486,True,False,True,False
1497,False,False,False,False
1509,False,False,True,True
1519,False,False,False,False
1537,False,False,True,False
1545,False,False,False,False
1553,False,False,False,False
1559,False,False,False,False
1561,False,False,False,False
1563,False,False,False,False
1567,True,False,True,False
1570,False,False,False,False
1575,False,False,False,False
1583,False,False,False,False
1585,False,False,False,False
1588,False,False,False,False
1589,False,False,False,False
1591,False,False,False,False
1598,False,False,False,False
1601,False,False,False,False
1615,False,False,False,False
1618,False,False,False,False
1622,False,False,False,False
1645,False,False,False,False
1659,False,False,False,False
1660,False,False,False,False
1666,False,False,False,False
1671,False,False,False,False
1673,False,False,False,False
1677,False,False,False,False
1685,False,False,False,False
1687,False,False,False,False
1688,True,False,True,False
1689,False,False,False,False
1693,False,False,False,False
1699,False,False,False,False
1703,False,False,False,False
1705,False,False,False,False
1706,False,False,False,False
1710,False,False,False,False
1726,False,False,False,False
1735,False,False,False,False
1738,False,False,False,False
1744,False,False,False,False
1753,False,False,False,False
1759,False,False,False,False
1765,False,False,False,False
1768,False,False,False,False
1773,False,False,False,False
1774,False,False,False,False
1777,False,False,False,False
1779,False,False,False,False
1784,False,False,False,False
1796,True,False,True,False
1798,True,True,True,True
1805,False,False,False,False
1807,False,False,False,False
1808,True,True,True,True
1811,False,False,False,False
1812,False,False,False,False
1822,False,False,True,False
1826,False,False,False,False
1827,False,False,True,True
1832,False,False,False,False
1833,False,False,False,False
1843,False,False,False,False
1845,False,False,False,False
1846,False,False,False,False
1855,False,False,False,False
1869,False,False,True,True
1875,False,False,False,False
1886,False,False,False,False
1888,False,False,False,False
1891,False,False,False,False
1897,False,False,False,False
1910,False,False,False,False
1914,False,False,False,False
1915,False,False,False,False
1918,True,True,True,True
1920,False,False,False,False
1921,True,False,True,False
1922,False,False,False,False
1924,False,False,False,False
1925,False,False,False,False
1946,False,False,True,False
1949,True,False,True,False
1958,False,False,False,False
1959,False,False,False,False
1972,False,False,False,False
1973,False,False,False,False
1978,False,False,False,False
1981,False,False,False,False
1994,False,False,False,False
1998,False,False,False,False
2000,False,False,False,False
2004,False,False,False,False
2005,False,False,False,False
2016,False,False,False,False
2027,False,False,False,False
2031,False,False,False,False
2037,False,False,False,False
2039,False,False,False,False
2047,False,False,False,False
2050,False,False,False,False
2052,False,False,False,False
